all.q:compute-1-0.local:users:ssim:Structure_job:36733:sge:0:1401935862:1401939361:1401942739:0:0:3378:3346.391271:0.824874:97404.000000:0:0:0:0:27805:0:0:0.000000:16568:0:0:0:812:339649:NONE:defaultdepartment:NONE:1:0:3347.216145:313.787608:0.007530:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36724:sge:0:1401935862:1401939211:1401942741:0:0:3530:3417.581448:0.865868:97404.000000:0:0:0:0:27736:0:0:0.000000:16608:0:0:0:852:346598:NONE:defaultdepartment:NONE:1:0:3418.447316:320.474059:0.007533:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36743:sge:0:1401935862:1401939391:1401942759:0:0:3368:3320.699176:0.963853:97404.000000:0:0:0:0:27762:0:0:0.000000:16560:0:0:0:811:338404:NONE:defaultdepartment:NONE:1:0:3321.663029:311.411926:0.007532:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36744:sge:0:1401935862:1401939391:1401942775:0:0:3384:3322.481905:1.074836:97404.000000:0:0:0:0:27772:0:0:0.000000:16568:0:0:0:810:337158:NONE:defaultdepartment:NONE:1:0:3323.556741:311.562392:0.007531:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36748:sge:0:1401935863:1401939436:1401942775:0:0:3339:3305.838436:0.939857:97404.000000:0:0:0:0:27749:0:0:0.000000:16560:0:0:0:779:336572:NONE:defaultdepartment:NONE:1:0:3306.778293:309.964173:0.007522:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36730:sge:0:1401935862:1401939271:1401942786:0:0:3515:3428.368808:0.873867:97400.000000:0:0:0:0:27798:0:0:0.000000:16608:0:0:0:740:347282:NONE:defaultdepartment:NONE:1:0:3429.242675:321.472808:0.007533:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36749:sge:0:1401935863:1401939436:1401942787:0:0:3351:3314.964048:0.903862:97400.000000:0:0:0:0:27761:0:0:0.000000:16560:0:0:0:796:337760:NONE:defaultdepartment:NONE:1:0:3315.867910:310.824015:0.007523:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36745:sge:0:1401935863:1401939391:1401942833:0:0:3442:3420.899944:0.794879:97400.000000:0:0:0:0:27801:0:0:0.000000:16584:0:0:0:771:347394:NONE:defaultdepartment:NONE:1:0:3421.694823:320.796411:0.007531:-q all.q:0.000000:NONE:214777856.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36740:sge:0:1401935862:1401939376:1401942841:0:0:3465:3424.531392:0.830873:97404.000000:0:0:0:0:27746:0:0:0.000000:16592:0:0:0:810:349600:NONE:defaultdepartment:NONE:1:0:3425.362265:321.078121:0.007527:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-1-0.local:users:ssim:Structure_job:36747:sge:0:1401935863:1401939436:1401942881:0:0:3445:3417.416473:0.911861:97404.000000:0:0:0:0:27761:0:0:0.000000:16584:0:0:0:788:344920:NONE:defaultdepartment:NONE:1:0:3418.328334:320.400209:0.007528:-q all.q:0.000000:NONE:213729280.000000:0:0
